[2021-05-24 17:16:34.675][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.675][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.675][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.676][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.677][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:34.678][ERR] GetUploadState, handle=-1, pProgress is NULL.
