[2021-05-24 17:16:38.094][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.097][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.097][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.097][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.098][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.099][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:38.100][ERR] GetUploadState, handle=-1, pProgress is NULL.
