[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.156][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:41.157][ERR] GetUploadState, handle=-1, pProgress is NULL.
